施設名,ラウンジ形態,媒体,総合スコア,投稿日,宿泊日,プラン名,喫食,客室,利用人数,年代,性別,目的,同伴者,レビュータイトル,レビュー本文,客室、アメニティ,施設、設備,接客、サービス,お食事,温泉、お風呂,満足度
インターゲート京都,宿泊者全員,一休,4.67,2025/3/5,2025/3/3～,,朝食付,【禁煙】スタンダートツイン（22平米 ベッド幅110cm）,2名 1室,,,,,サービス満点で朝食も美味しい！,ラウンジでのドリンクや軽食・ぶぶ漬けサービスなどがあり、広くてきれいなラウンジはゆったりと過ごせて居心地が良かったです。 朝食は彩りどりの野菜がたくさん並び、タコマリネやビーフシチュー、ほうじ茶鶏出汁ラーメンなど美味しいお料理ばかりでした。 お手頃価格なのに充実したサービスがとてもありがたかったです。 お世話になりました。,3,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,5.00,2025/2/16,2025/2/14～,,食事なし,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,1名 1室,,,,,何度も利用させて頂いてますが、毎回癒され...,何度も利用させて頂いてますが、毎回癒されるとても良いホテルだと思います。 朝食もかなり美味しくて大変満足いたしました。 またお世話になると思いますので宜しくお願いします。,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.50,2024/4/22,2024/4/14～,,朝食付,【禁煙】スーペリアツイン,2名 1室,,,,,ホテル,口コミを見て宿泊しました。 京都駅から四条駅まで地下鉄で行って それから歩いてホテルまで。思ったより歩いて着きました。口コミの通り、ラウンジサービスが良くて、お菓子、コーヒー飲み物など嬉しかった。夜食のぶぶ漬けも美味しかったです,4,5,5,5,4,4
インターゲート京都,宿泊者全員,一休,5.00,2024/10/6,2024/10/3～,,朝食付,【喫煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,とっても満足 プロフェッショナルなホスピタリティ,団体客が多い 外国人ばかりではなく年配の日本人のお客様もいらした ロビーがごった返しても慣れているのかスタッフの方々は全く動じずに様々なリクエストに応えてくださる 私達は当初主人が電子タバコを吸うので喫煙フロアを予約していたがタバコの匂いが酷くてタオルまで匂っていたので禁煙フロアに移らせて戴いた 迅速な対応だった 1階に喫煙所がありタバコはそちらで吸える 喫煙所の奥に大浴場 私が行ったときは2回とも女性一人だった 泊まっている人数が多いのに多い感じがしない 朝食をはじめラウンジのサービスが 素晴らしかった 朝食には京都らしい料理がたくさん 松茸とキノコの炊き込みご飯が絶品 お部屋でスマートチェックアウトをした後に忘れ物をしたことに気づき取って来てくださった ありがとうございました,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.67,2024/12/30,2024/12/28～,,朝食付,【禁煙】スーペリアツイン（24平米 ベッド幅110cm）,2名 1室,,,,,とても良いホテルです,おもてなしの心が色んなところで感じられるホテルでした。 20時まで色んなドリンクやオードブルが無料で楽しめる上に、（こだわりのコーヒー美味しいですよ） 20時以降は「ぶぶ漬け」も楽しめます。 これがまた美味しかった！ 口コミが良かったので、朝食付きにしました 文句なしに美味しかったです。 本当申し分ない！のですが、唯一と言えるのが、私たちの部屋は？なのか 窓はすりガラスで開けられないので 景色的なものは全くか楽しめません。 部屋の空気を入れ替えたい派の私には それだけが。笑 でも、京都に行く時には是非利用したいホテルでした。,5,5,5,4,4,5
インターゲート京都,宿泊者全員,一休,4.67,2024/2/20,2024/2/16～,,朝食付,【禁煙】スーペリアダブル,2名 1室,,,,,充実したサービス,お世話になりました。朝のスムージー、野菜が多い朝食、コーヒータイム、アフタヌーンサービス、ハッピーアワーとナイトタイムのお茶漬け。そして大浴場とマッサージチェア。のんびりさせていただきました。また機会があれば、利用させていただきます。だた朝食のご飯が堅かったのだけが残念です。,5,5,5,4,5,4
インターゲート京都,宿泊者全員,一休,5.00,2023/10/13,2023/10/10～,,食事なし,【禁煙】スーペリアツイン,2名 1室,,,,,インターゲートホテル好き,今回、金沢と2回目、まず！どこ行くにも便利！ホテルも綺麗だし、大浴場があり、ラウンジでのサービスもお得！私達は朝食なしにして、チェックアウトまでゆっくりして、お風呂も入り、ラウンジでコーヒー飲んで過ごしてから、京都散策！スタッフさんも皆さん優しくて親切でした！リーズナブルで綺麗、サービスが良いホテル！立地も良いから、これはリピート間違いなし！,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,3.50,2024/3/20,2024/3/13～,,朝食付,【禁煙】スーペリアハリウッドツイン,1名 1室,,,,,窓が開けられません,クチコミ評価の高い事から楽しみにして3連泊しました。身体を休める為、部屋のお風呂に入りつつ宿泊者専用ラウンジのイベントに全参加しながら過ごしました。なかなか忙しくてあっという間に日が過ぎました。作務衣を部屋着にスリッパ履きで館内移動はかただ窓からの日差しは明るいのですが曇りガラスで外の景色を見る事かなわず、窓の鍵は特別に管理され、基本的に清掃時も窓は締切のまま行うようでした。部屋にこもっていたので、ちょっと、、、,2,3,4,5,4,3
インターゲート京都,宿泊者全員,一休,5.00,2024/2/8,2024/2/4～,,朝食付,【禁煙】コネクティングスーペリアツイン,3名 1室,,,,,職場同期の3人旅,女子会3人旅でコネクティングスーペリアツイン予約しました。 1部屋でエキストラベッド使用のホテルが多い中、2部屋が中でつながっており（コネクティング）とても楽しく過ごせました。 また大浴場があるのが嬉しく、もちろん夜、朝と大浴場で満喫しました。 朝食はタイミング的に時間が重なってしまったと思います。 もう少し前か後なら沢山のお野菜いっぱい取れたなぁと思いました。 でもお腹いっぱい、ごちそうさまでした！,5,5,5,5,5,5
インターゲート京都,宿泊者全員,一休,4.00,2024/3/3,2024/3/1～,,食事なし,【禁煙】スーペリアハリウッドツイン,2名 1室,,,,,前から泊まりたかったホテル,今回、初めて宿泊させて頂きました。 予想通りの良いホテルでした。 時間ごとにハッピーアワーやお茶漬けの無料提供があり満足致しました。 朝食もおいしかったです、 部屋にコーヒーや紅茶が無かったので、1階で無料で頂けるコーヒーの時間が決まっててもう少し長い時間提供してもらえたらなと思いました。 また機会があれば宿泊したいホテルです。,4,4,4,4,4,4
